timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-01-14,57433.37271000,62883.72000000,57399.38151000,62388.08581500,8110.34000000,8880.00000000,8105.54000000,8810.01000000,120399.12674200,120399.12674200
2020-01-13,57961.86505500,58039.97400000,57047.78503500,57433.37271000,8184.97000000,8196.00000000,8055.89000000,8110.34000000,31159.75568300,31159.75568300
2020-01-12,56793.70081500,58047.05550000,56368.74000000,57961.93587000,8020.01000000,8197.00000000,7960.00000000,8184.98000000,38131.49433600,38131.49433600
2020-01-11,58060.22709000,58679.71671000,56674.37754000,56793.70081500,8198.86000000,8286.34000000,8003.16000000,8020.01000000,54810.03266700,54810.03266700
2020-01-10,55361.32581000,58061.21850000,54329.26800000,58047.19713000,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800,82406.77744800
2020-01-09,57039.49968000,57048.28074000,54881.62500000,55361.46744000,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000,64239.51983000
2020-01-08,57685.33248000,59874.08250000,55731.40500000,57048.42237000,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000,112622.64264000
2020-01-07,54944.65035000,58122.68592000,54695.45236500,57680.80032000,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100,91171.68466100
2020-01-06,52103.12766000,55202.70021000,52026.08094000,54938.27700000,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600,54635.69531600
2020-01-05,52078.69648500,53075.84250000,51822.41700000,52110.98812500,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400,38331.08560400
2020-01-04,52013.61750000,52431.42600000,51498.15511500,52078.12996500,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700,29987.97497700
2020-01-03,49326.11743500,52438.50750000,48657.26976000,52013.33424000,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100,68428.50045100
2020-01-02,50992.25275500,51075.31875000,49037.54631000,49327.67536500,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200,31951.48393200
2020-01-01,50953.09206000,51376.28250000,50810.82472500,50992.81927500,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500,16792.38816500
2019-12-31,51312.54900000,51836.58000000,50597.38831500,50953.02124500,7246.00000000,7320.00000000,7145.01000000,7195.23000000,25954.45353300,25954.45353300
2019-12-30,52321.16704500,52461.45156000,51128.43000000,51312.54900000,7388.43000000,7408.24000000,7220.00000000,7246.00000000,29605.91178200,29605.91178200
2019-12-29,51803.72184000,53312.71867500,51609.97200000,52319.82156000,7315.36000000,7528.45000000,7288.00000000,7388.24000000,31387.10608500,31387.10608500
2019-12-28,51374.65375500,52155.31831500,51260.64160500,51809.24541000,7254.77000000,7365.01000000,7238.67000000,7316.14000000,26848.98219900,26848.98219900
2019-12-27,51000.96300000,51524.00259000,50111.66823000,51374.44131000,7202.00000000,7275.86000000,7076.42000000,7254.74000000,33642.70186100,33642.70186100
2019-12-26,51022.27831500,52650.95250000,50683.14528000,51000.96300000,7205.01000000,7435.00000000,7157.12000000,7202.00000000,36259.76107600,36259.76107600
2019-12-25,51381.73525500,51495.03925500,50483.02209000,51019.58734500,7255.77000000,7271.77000000,7128.86000000,7204.63000000,27492.04432300,27492.04432300
2019-12-24,51817.45995000,52662.84942000,50682.57876000,51381.73525500,7317.30000000,7436.68000000,7157.04000000,7255.77000000,43629.49418800,43629.49418800
2019-12-23,53116.27786500,54494.83347000,51453.04596000,51815.97283500,7500.71000000,7695.38000000,7265.84000000,7317.09000000,68051.99720300,68051.99720300
2019-12-22,50502.35458500,53242.54101000,50437.77130500,53121.44736000,7131.59000000,7518.54000000,7122.47000000,7501.44000000,39137.45515000,39137.45515000
2019-12-21,50901.89281500,50920.09227000,50314.05750000,50510.56912500,7188.01000000,7190.58000000,7105.00000000,7132.75000000,19467.17402800,19467.17402800
2019-12-20,50642.00176500,51128.43000000,50133.47925000,50900.61814500,7151.31000000,7220.00000000,7079.50000000,7187.83000000,32132.06920500,32132.06920500
2019-12-19,51537.95314500,52261.47000000,49841.79226500,50634.84945000,7277.83000000,7380.00000000,7038.31000000,7150.30000000,55509.04907500,55509.04907500
2019-12-18,46906.72296000,52686.36000000,45569.45250000,51537.95314500,6623.84000000,7440.00000000,6435.00000000,7277.83000000,95636.65125100,95636.65125100
2019-12-17,48801.73236000,49161.26011500,46454.64000000,46906.58133000,6891.44000000,6942.21000000,6560.00000000,6623.82000000,53865.06992900,53865.06992900
2019-12-16,50417.44740000,50632.72500000,48409.13400000,48803.71518000,7119.60000000,7150.00000000,6836.00000000,6891.72000000,43863.99305900,43863.99305900
2019-12-15,50024.70741000,50988.92445000,49629.63052500,50410.29508500,7064.14000000,7200.30000000,7008.35000000,7118.59000000,26395.77813700,26395.77813700
2019-12-14,51393.06565500,51495.03925500,49655.47800000,50024.07007500,7257.37000000,7271.77000000,7012.00000000,7064.05000000,29561.98596700,29561.98596700
2019-12-13,50970.93744000,51759.03757500,50921.36694000,51400.92612000,7197.76000000,7309.05000000,7190.76000000,7258.48000000,27609.87379500,27609.87379500
2019-12-12,51057.61500000,51659.54250000,50139.14445000,50973.20352000,7210.00000000,7295.00000000,7080.30000000,7198.08000000,42288.60093200,42288.60093200
2019-12-11,51157.81822500,51521.45325000,50460.36129000,51057.61500000,7224.15000000,7275.50000000,7125.66000000,7210.00000000,30093.09194400,30093.09194400
2019-12-10,51968.57916000,52456.91940000,50683.00365000,51157.67659500,7338.64000000,7407.60000000,7157.10000000,7224.13000000,49723.76214000,49723.76214000
2019-12-09,53182.84396500,54173.47500000,51503.74950000,51968.57916000,7510.11000000,7650.00000000,7273.00000000,7338.64000000,46621.88749300,46621.88749300
2019-12-08,53021.38576500,53564.46600000,52225.07109000,53182.84396500,7487.31000000,7564.00000000,7374.86000000,7510.11000000,29856.89763100,29856.89763100
