date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
07/08/2019,11481.69,11481.69,12141.17,12141.17,11382.84,11382.84,11975.03,11975.03,69173.39035,69173.39035
06/08/2019,11830,11830,12330.7,12330.7,11226.7,11226.7,11481.69,11481.69,76705.38988,76705.38988
05/08/2019,10929.99,10929.99,11937.52,11937.52,10927.8,10927.8,11828.8,11828.8,65153.67371,65153.67371
04/08/2019,10816.86,10816.86,11040,11040,10552,10552,10929.23,10929.23,39924.74514,39924.74514
03/08/2019,10523.75,10523.75,10904.77,10904.77,10497.93,10497.93,10816.86,10816.86,33802.31882,33802.31882
02/08/2019,10375,10375,10670,10670,10281.35,10281.35,10523.75,10523.75,42990.44422,42990.44422
01/08/2019,10080.53,10080.53,10467.86,10467.86,9863.46,9863.46,10374.99,10374.99,41727.63703,41727.63703
31/07/2019,9575,9575,10109.8,10109.8,9555,9555,10080.53,10080.53,39515.35456,39515.35456
30/07/2019,9509.07,9509.07,9714.28,9714.28,9402,9402,9574.21,9574.21,32536.36883,32536.36883
29/07/2019,9541.54,9541.54,9729,9729,9395,9395,9507.64,9507.64,29021.93741,29021.93741
28/07/2019,9478.92,9478.92,9594.99,9594.99,9165,9165,9541.54,9541.54,29401.02294,29401.02294
27/07/2019,9824,9824,10188.66,10188.66,9333,9333,9476.52,9476.52,43809.7783,43809.7783
26/07/2019,9882.15,9882.15,9889.98,9889.98,9637,9637,9824,9824,27167.46322,27167.46322
25/07/2019,9763.4,9763.4,10175,10175,9720.03,9720.03,9879.87,9879.87,37873.35473,37873.35473
24/07/2019,9864.78,9864.78,9937,9937,9525,9525,9763.28,9763.28,43475.38038,43475.38038
23/07/2019,10343.08,10343.08,10343.97,10343.97,9822,9822,9864.91,9864.91,47624.37071,47624.37071
22/07/2019,10590.15,10590.15,10683.16,10683.16,10100,10100,10340.31,10340.31,40467.95484,40467.95484
21/07/2019,10740.27,10740.27,10817.9,10817.9,10288,10288,10589.45,10589.45,38834.28794,38834.28794
20/07/2019,10505.78,10505.78,11068.99,11068.99,10350,10350,10740.23,10740.23,47331.89985,47331.89985
19/07/2019,10628.64,10628.64,10769.71,10769.71,10121.84,10121.84,10504.29,10504.29,56546.93213,56546.93213
18/07/2019,9668.86,9668.86,10788,10788,9252,9252,10627.16,10627.16,80283.31025,80283.31025
17/07/2019,9430.17,9430.17,9957,9957,9060,9060,9667.92,9667.92,84942.67272,84942.67272
16/07/2019,10833.78,10833.78,11028,11028,9350.01,9350.01,9439.59,9439.59,97219.44341,97219.44341
15/07/2019,10174.18,10174.18,11100,11100,9860,9860,10838.72,10838.72,81922.42633,81922.42633
14/07/2019,11355.78,11355.78,11452,11452,10103,10103,10174.18,10174.18,72517.57924,72517.57924
13/07/2019,11757.22,11757.22,11799.98,11799.98,10830,10830,11355.76,11355.76,54245.59455,54245.59455
12/07/2019,11342.88,11342.88,11885,11885,11073,11073,11757.22,11757.22,56321.85828,56321.85828
11/07/2019,12108.11,12108.11,12111.73,12111.73,11000,11000,11342.89,11342.89,87506.46106,87506.46106
10/07/2019,12548.51,12548.51,13147.08,13147.08,11569,11569,12108.37,12108.37,109246.045,109246.045
09/07/2019,12238.6,12238.6,12794.73,12794.73,12068,12068,12543.41,12543.41,78442.13034,78442.13034
08/07/2019,11410,11410,12338.03,12338.03,11220,11220,12238.6,12238.6,52182.36722,52182.36722
07/07/2019,11256.45,11256.45,11538,11538,11094.37,11094.37,11406.24,11406.24,38884.7956,38884.7956
06/07/2019,10982.41,10982.41,11665,11665,10964.51,10964.51,11256.49,11256.49,51469.49633,51469.49633
05/07/2019,11145.67,11145.67,11406.83,11406.83,10796.44,10796.44,10970.73,10970.73,63534.35058,63534.35058
04/07/2019,11940,11940,12000,12000,11055,11055,11145.67,11145.67,66512.22189,66512.22189
03/07/2019,10844.98,10844.98,11991.89,11991.89,10841.04,10841.04,11940,11940,96815.90029,96815.90029
02/07/2019,10624.9,10624.9,10938.75,10938.75,9727,9727,10842.85,10842.85,109561.0387,109561.0387
01/07/2019,10854.1,10854.1,11282.28,11282.28,10030,10030,10624.93,10624.93,90962.26827,90962.26827
30/06/2019,11903.13,11903.13,12180,12180,10766.03,10766.03,10854.1,10854.1,84512.53044,84512.53044
29/06/2019,12407.06,12407.06,12441.54,12441.54,11475.02,11475.02,11903.13,11903.13,69642.07416,69642.07416
28/06/2019,11329.99,11329.99,12480,12480,10982.88,10982.88,12400.63,12400.63,95795.20396,95795.20396
27/06/2019,13098.38,13098.38,13478.04,13478.04,10525.1,10525.1,11329.99,11329.99,173894.8209,173894.8209
26/06/2019,11821.28,11821.28,13970,13970,11741,11741,13093.8,13093.8,155930.1474,155930.1474
25/06/2019,11056.59,11056.59,11850,11850,11026,11026,11820.86,11820.86,61276.68665,61276.68665
24/06/2019,10905.95,10905.95,11143.63,11143.63,10620.8,10620.8,11056.59,11056.59,43101.04529,43101.04529
23/06/2019,10729,10729,11392.64,11392.64,10555.18,10555.18,10906.07,10906.07,57445.32395,57445.32395
22/06/2019,10159.86,10159.86,11160,11160,9921.72,9921.72,10729.5,10729.5,104169.448,104169.448
21/06/2019,9518.06,9518.06,10174.99,10174.99,9518.06,9518.06,10159.86,10159.86,50484.41589,50484.41589
20/06/2019,9253.76,9253.76,9590,9590,9175.2,9175.2,9517.12,9517.12,34556.05398,34556.05398
19/06/2019,9081.97,9081.97,9304,9304,8960,8960,9255.49,9255.49,32147.7065,32147.7065
18/06/2019,9312.13,9312.13,9336.36,9336.36,8950,8950,9081.55,9081.55,51554.5694,51554.5694
17/06/2019,8953,8953,9444,9444,8950,8950,9313.96,9313.96,47895.48537,47895.48537
16/06/2019,8810.77,8810.77,9333,9333,8760,8760,8953.33,8953.33,63289.25122,63289.25122
15/06/2019,8650.88,8650.88,8864.99,8864.99,8567.63,8567.63,8808.7,8808.7,31791.63604,31791.63604
14/06/2019,8216.44,8216.44,8684.41,8684.41,8144.32,8144.32,8650,8650,39835.24626,39835.24626
13/06/2019,8127.64,8127.64,8309.82,8309.82,8010.03,8010.03,8218.54,8218.54,30467.76434,30467.76434
12/06/2019,7884.9,7884.9,8200,8200,7788.99,7788.99,8127.64,8127.64,41597.08262,41597.08262
