date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
03/02/2020,188.48,188.48,195.19,195.19,186.62,186.62,189.69,189.69,417175.9578,417175.9578
02/02/2020,183.63,183.63,193.43,193.43,179.1,179.1,188.44,188.44,552621.1362,552621.1362
01/02/2020,179.94,179.94,184.28,184.28,179.23,179.23,183.6,183.6,259370.129,259370.129
31/01/2020,184.71,184.71,185.82,185.82,175.22,175.22,179.99,179.99,385596.5337,385596.5337
30/01/2020,173.68,173.68,187,187,170.93,170.93,184.69,184.69,477721.6609,477721.6609
29/01/2020,175.58,175.58,178.45,178.45,173.33,173.33,173.72,173.72,317382.9016,317382.9016
28/01/2020,170.04,170.04,176.2,176.2,170.03,170.03,175.64,175.64,473433.8961,473433.8961
27/01/2020,167.91,167.91,172.56,172.56,165.22,165.22,170.08,170.08,365894.8192,365894.8192
26/01/2020,160.36,160.36,168.08,168.08,159.41,159.41,167.86,167.86,251582.5576,251582.5576
25/01/2020,162.51,162.51,162.79,162.79,157.61,157.61,160.35,160.35,219921.652,219921.652
24/01/2020,162.85,162.85,164.45,164.45,155.55,155.55,162.54,162.54,430013.199,430013.199
23/01/2020,168.07,168.07,168.2,168.2,159.21,159.21,162.81,162.81,373414.3499,373414.3499
22/01/2020,169.48,169.48,171.47,171.47,166.03,166.03,168.07,168.07,272240.9029,272240.9029
21/01/2020,166.86,166.86,170.32,170.32,164.8,164.8,169.49,169.49,308007.6353,308007.6353
20/01/2020,166.79,166.79,169.33,169.33,161.24,161.24,166.87,166.87,358092.8841,358092.8841
19/01/2020,174.1,174.1,178.05,178.05,161.66,161.66,166.79,166.79,624681.286,624681.286
18/01/2020,169.92,169.92,179.5,179.5,164.92,164.92,174.14,174.14,688783.1798,688783.1798
17/01/2020,164.24,164.24,174.81,174.81,162.14,162.14,169.85,169.85,767180.6785,767180.6785
16/01/2020,166.4,166.4,167.4,167.4,157.8,157.8,164.21,164.21,456170.8672,456170.8672
15/01/2020,165.6,165.6,171.98,171.98,159.2,159.2,166.4,166.4,721687.8038,721687.8038
14/01/2020,143.58,143.58,171.7,171.7,143.51,143.51,165.64,165.64,1108476.312,1108476.312
13/01/2020,146.56,146.56,147,147,142.27,142.27,143.58,143.58,207996.6187,207996.6187
12/01/2020,142.4,142.4,146.6,146.6,141.76,141.76,146.54,146.54,229541.8614,229541.8614
11/01/2020,144.83,144.83,148.05,148.05,142.09,142.09,142.38,142.38,368350.5794,368350.5794
10/01/2020,137.73,137.73,145.17,145.17,135.32,135.32,144.84,144.84,409403.5951,409403.5951
09/01/2020,140.76,140.76,141.5,141.5,135.3,135.3,137.74,137.74,366076.0657,366076.0657
08/01/2020,142.8,142.8,147.77,147.77,137.03,137.03,140.72,140.72,570465.5776,570465.5776
07/01/2020,144.14,144.14,145.31,145.31,138.76,138.76,142.8,142.8,447762.1728,447762.1728
06/01/2020,135.37,135.37,144.41,144.41,134.86,134.86,144.15,144.15,408020.2738,408020.2738
05/01/2020,134.2,134.2,138.19,138.19,134.19,134.19,135.37,135.37,254120.4534,254120.4534
04/01/2020,134.37,134.37,135.85,135.85,132.5,132.5,134.2,134.2,184276.171,184276.171
03/01/2020,127.19,127.19,135.14,135.14,125.88,125.88,134.35,134.35,413055.189,413055.189
02/01/2020,130.72,130.72,130.78,130.78,126.38,126.38,127.19,127.19,213757.0581,213757.0581
01/01/2020,129.16,129.16,133.05,133.05,128.68,128.68,130.77,130.77,144770.522,144770.522
31/12/2019,131.61,131.61,133.68,133.68,128.17,128.17,129.16,129.16,264933.9842,264933.9842
30/12/2019,134.36,134.36,136.24,136.24,130.3,130.3,131.59,131.59,320347.2196,320347.2196
29/12/2019,128.11,128.11,138.07,138.07,127.52,127.52,134.36,134.36,316347.2667,316347.2667
28/12/2019,126.28,126.28,129.68,129.68,125.84,125.84,128.11,128.11,196893.5228,196893.5228
27/12/2019,125.58,125.58,127.1,127.1,121.91,121.91,126.29,126.29,240012.3745,240012.3745
26/12/2019,125.09,125.09,132.26,132.26,124.32,124.32,125.58,125.58,274986.521,274986.521
25/12/2019,127.7,127.7,127.84,127.84,123.07,123.07,125.09,125.09,225004.4909,225004.4909
24/12/2019,127.8,127.8,129.69,129.69,126.61,126.61,127.75,127.75,200637.101,200637.101
23/12/2019,132.12,132.12,135.1,135.1,126,126,127.8,127.8,421600.7566,421600.7566
22/12/2019,127,127,133.07,133.07,126.82,126.82,132.09,132.09,253140.7241,253140.7241
21/12/2019,128.19,128.19,128.4,128.4,126.5,126.5,126.99,126.99,135196.1164,135196.1164
20/12/2019,128.1,128.1,129.39,129.39,125.84,125.84,128.19,128.19,213897.4673,213897.4673
19/12/2019,132.8,132.8,134,134,125.69,125.69,128.1,128.1,420674.8172,420674.8172
18/12/2019,121.88,121.88,134.87,134.87,116.26,116.26,132.78,132.78,884960.9133,884960.9133
17/12/2019,132.72,132.72,132.98,132.98,119.11,119.11,121.88,121.88,563257.36,563257.36
16/12/2019,142.46,142.46,142.72,142.72,127.93,127.93,132.73,132.73,471018.8594,471018.8594
15/12/2019,141.79,141.79,144.12,144.12,139.92,139.92,142.46,142.46,151189.6588,151189.6588
14/12/2019,144.8,144.8,145.07,145.07,141.18,141.18,141.79,141.79,126232.592,126232.592
13/12/2019,144.87,144.87,146,146,142.8,142.8,144.8,144.8,160695.1856,160695.1856
12/12/2019,143.41,143.41,145.85,145.85,139.24,139.24,144.87,144.87,261615.3044,261615.3044
11/12/2019,145.53,145.53,146.34,146.34,142.12,142.12,143.39,143.39,157843.1048,157843.1048
10/12/2019,147.4,147.4,148.57,148.57,143.81,143.81,145.56,145.56,203215.8494,203215.8494
09/12/2019,150.44,150.44,151.19,151.19,146.56,146.56,147.38,147.38,243775.9925,243775.9925
08/12/2019,147.16,147.16,151.62,151.62,146.11,146.11,150.44,150.44,205301.6026,205301.6026
07/12/2019,148.46,148.46,149.49,149.49,146.85,146.85,147.14,147.14,140471.6859,140471.6859
06/12/2019,148.11,148.11,149.77,149.77,145.74,145.74,148.45,148.45,220674.6858,220674.6858
05/12/2019,145.45,145.45,149.02,149.02,143.64,143.64,148.1,148.1,299073.5397,299073.5397
04/12/2019,147.19,147.19,151.98,151.98,143.15,143.15,145.38,145.38,434430.6238,434430.6238
03/12/2019,148.66,148.66,149.93,149.93,145.77,145.77,147.17,147.17,196329.225,196329.225
02/12/2019,150.72,150.72,151.42,151.42,146.71,146.71,148.65,148.65,233839.0973,233839.0973
01/12/2019,151.43,151.43,152.49,152.49,145.79,145.79,150.73,150.73,344178.1409,344178.1409
30/11/2019,154.54,154.54,155.25,155.25,149.7,149.7,151.37,151.37,226863.413,226863.413
29/11/2019,150.69,150.69,157.6,157.6,150.23,150.23,154.57,154.57,328712.2556,328712.2556
28/11/2019,152.61,152.61,154.63,154.63,149.09,149.09,150.72,150.72,317714.5633,317714.5633
27/11/2019,147.47,147.47,155.54,155.54,140.84,140.84,152.62,152.62,564796.4284,564796.4284
26/11/2019,145.81,145.81,149.97,149.97,143.37,143.37,147.47,147.47,354023.043,354023.043
25/11/2019,139.99,139.99,151.5,151.5,131.45,131.45,145.69,145.69,749675.413,749675.413
24/11/2019,151.84,151.84,152.86,152.86,138.62,138.62,139.96,139.96,352319.2156,352319.2156
23/11/2019,149.55,149.55,154.33,154.33,146.11,146.11,151.84,151.84,369721.0996,369721.0996
22/11/2019,161.02,161.02,162.79,162.79,138,138,149.56,149.56,977977.2379,977977.2379
21/11/2019,174.75,174.75,175.85,175.85,157.26,157.26,161.01,161.01,473895.9299,473895.9299
20/11/2019,175.93,175.93,177.41,177.41,173.5,173.5,174.72,174.72,216315.9331,216315.9331
19/11/2019,178.2,178.2,178.52,178.52,172.65,172.65,175.94,175.94,275886.6411,275886.6411
18/11/2019,183.82,183.82,184.06,184.06,175.01,175.01,178.2,178.2,293551.2363,293551.2363
17/11/2019,182.37,182.37,186.09,186.09,180,180,183.82,183.82,198892.4372,198892.4372
16/11/2019,179.99,179.99,183.46,183.46,179.3,179.3,182.37,182.37,172801.5258,172801.5258
15/11/2019,184.93,184.93,186.7,186.7,177.67,177.67,180,180,407466.7896,407466.7896
14/11/2019,188.07,188.07,188.72,188.72,183.34,183.34,184.92,184.92,245505.2997,245505.2997
13/11/2019,187.09,187.09,189.66,189.66,185.3,185.3,188.11,188.11,197273.84,197273.84
12/11/2019,184.98,184.98,187.65,187.65,182.41,182.41,187.09,187.09,256782.6312,256782.6312
11/11/2019,188.96,188.96,190.19,190.19,184.06,184.06,184.98,184.98,255579.9343,255579.9343
10/11/2019,184.86,184.86,191.58,191.58,183.3,183.3,188.96,188.96,274940.5345,274940.5345
09/11/2019,183.71,183.71,185.79,185.79,182.63,182.63,184.89,184.89,192073.3804,192073.3804
08/11/2019,186.67,186.67,188.26,188.26,181.41,181.41,183.74,183.74,365029.7503,365029.7503
07/11/2019,191.16,191.16,192.27,192.27,184.59,184.59,186.68,186.68,309882.0821,309882.0821
06/11/2019,188.65,188.65,195.09,195.09,187.72,187.72,191.16,191.16,343219.9224,343219.9224
05/11/2019,185.71,185.71,192.51,192.51,182.22,182.22,188.68,188.68,389668.6472,389668.6472
04/11/2019,181.53,181.53,188.64,188.64,180.36,180.36,185.71,185.71,321175.2913,321175.2913
03/11/2019,182.9,182.9,184.7,184.7,178.95,178.95,181.54,181.54,232621.5215,232621.5215
02/11/2019,182.86,182.86,186,186,181.53,181.53,182.91,182.91,179864.3974,179864.3974
01/11/2019,182.19,182.19,184.5,184.5,177.02,177.02,182.85,182.85,331519.7696,331519.7696
31/10/2019,183.14,183.14,185.27,185.27,177.66,177.66,182.18,182.18,410969.861,410969.861
30/10/2019,190.45,190.45,191.71,191.71,179.28,179.28,183.13,183.13,537770.4306,537770.4306
29/10/2019,181.67,181.67,192.74,192.74,181.26,181.26,190.46,190.46,529964.5054,529964.5054
28/10/2019,183.84,183.84,189.48,189.48,180.35,180.35,181.72,181.72,582179.4455,582179.4455
27/10/2019,179.42,179.42,188.7,188.7,176.22,176.22,183.75,183.75,724423.4053,724423.4053
26/10/2019,181.53,181.53,197.74,197.74,173.8,173.8,179.49,179.49,1211737.437,1211737.437
25/10/2019,160.39,160.39,187.78,187.78,160.25,160.25,181.5,181.5,904832.8606,904832.8606
24/10/2019,162.35,162.35,163.72,163.72,158.72,158.72,160.38,160.38,387310.8377,387310.8377
23/10/2019,171.19,171.19,171.49,171.49,153.45,153.45,162.35,162.35,746955.0981,746955.0981
22/10/2019,174,174,175.04,175.04,170.3,170.3,171.2,171.2,255429.4162,255429.4162
21/10/2019,175.18,175.18,177.9,177.9,171.59,171.59,173.98,173.98,270608.5139,270608.5139
20/10/2019,171.84,171.84,176.88,176.88,169.21,169.21,175.22,175.22,299141.0715,299141.0715
19/10/2019,172.78,172.78,174.98,174.98,169.44,169.44,171.79,171.79,296918.7303,296918.7303
18/10/2019,177.17,177.17,177.44,177.44,168.66,168.66,172.74,172.74,319602.4851,319602.4851
17/10/2019,174.52,174.52,178.96,178.96,172.61,172.61,177.16,177.16,298795.8198,298795.8198
16/10/2019,180.52,180.52,181.44,181.44,171.81,171.81,174.47,174.47,347764.9346,347764.9346
15/10/2019,186.7,186.7,188.37,188.37,175.96,175.96,180.49,180.49,405466.3811,405466.3811
14/10/2019,180.98,180.98,187.54,187.54,180.43,180.43,186.72,186.72,279732.8461,279732.8461
13/10/2019,179.65,179.65,184.95,184.95,178.52,178.52,180.99,180.99,247589.2323,247589.2323
12/10/2019,180.65,180.65,184.64,184.64,177.59,177.59,179.68,179.68,290415.2204,290415.2204
11/10/2019,191.18,191.18,196.65,196.65,179.41,179.41,180.72,180.72,621693.6313,621693.6313
10/10/2019,192.61,192.61,194.2,194.2,186.88,186.88,191.14,191.14,436588.5845,436588.5845
09/10/2019,180.61,180.61,195.53,195.53,178.96,178.96,192.62,192.62,562506.8219,562506.8219
08/10/2019,179.88,179.88,184.87,184.87,177,177,180.6,180.6,400832.3783,400832.3783
07/10/2019,170.08,170.08,182.32,182.32,168.68,168.68,179.85,179.85,496523.4804,496523.4804
06/10/2019,176.23,176.23,177.04,177.04,167.68,167.68,170.1,170.1,314932.3963,314932.3963
05/10/2019,175.55,175.55,176.71,176.71,172.02,172.02,176.25,176.25,278488.6177,278488.6177
04/10/2019,174.71,174.71,178.98,178.98,170.74,170.74,175.55,175.55,333897.6388,333897.6388
03/10/2019,180.24,180.24,180.72,180.72,169.55,169.55,174.69,174.69,354756.7848,354756.7848
02/10/2019,175.65,175.65,181.29,181.29,173.65,173.65,180.24,180.24,348268.1162,348268.1162
01/10/2019,180.89,180.89,185.53,185.53,173.19,173.19,175.66,175.66,609819.6083,609819.6083
30/09/2019,169.26,169.26,181.24,181.24,165.01,165.01,180.85,180.85,580295.3997,580295.3997
29/09/2019,173.5,173.5,174.5,174.5,164.12,164.12,169.24,169.24,410855.1218,410855.1218
28/09/2019,173.83,173.83,175.49,175.49,168,168,173.49,173.49,521775.4659,521775.4659
27/09/2019,165.92,165.92,176.72,176.72,161.03,161.03,173.79,173.79,634932.9671,634932.9671
